0,0,0,0,0,0,0,0,0
0.05,0.00948213,0.00223516,0.0472775,-0.00882735,-0.00810885,0.00651246,0.0222279,0.125313
0.1,0.0122493,0.00534819,0.0731313,-0.0153749,-0.013391,0.0145908,0.022575,0.173356
0.15,0.0102678,0.00625332,0.0790779,-0.0174745,-0.0133096,0.00247911,0.0257124,0.139418
0.2,0.0109618,0.00645899,0.0803678,-0.0195843,-0.0195843,0.00916766,0.0411839,0.182857
0.25,0.021164,0.0072737,0.085286,-0.0263558,-0.0151535,0.021905,0.0620707,0.217062
0.3,0.0442435,0.00814385,0.0902433,-0.0285424,-0.0100476,0.0537726,0.0891384,0.257005
0.35,0.080412,0.00824303,0.0907911,0.0169568,0.029249,0.0959841,0.122807,0.303295
0.4,0.128071,0.00738502,0.0859362,0.07624,0.0873993,0.147295,0.163116,0.360772
0.45,0.184787,0.00589189,0.0767586,0.146345,0.158856,0.208742,0.209706,0.41485
0.5,0.247795,0.00425032,0.0651944,0.212229,0.22546,0.261825,0.2699,0.448334
0.55,0.314293,0.00287682,0.053636,0.283305,0.288201,0.318359,0.334598,0.487975
0.6,0.381657,0.0020104,0.0448375,0.353497,0.353497,0.377909,0.40072,0.52277
0.65,0.44762,0.00170491,0.0412905,0.432006,0.4334,0.439702,0.465074,0.527592
0.7,0.510391,0.00188387,0.0434036,0.499699,0.499699,0.52007,0.530394,0.591114
0.75,0.568692,0.00241289,0.0491212,0.546737,0.558787,0.576008,0.597754,0.657413
0.8,0.621742,0.00315516,0.0561708,0.604182,0.614849,0.624538,0.665564,0.678481
0.85,0.669184,0.00399949,0.0632415,0.657569,0.666875,0.667425,0.717201,0.728974
0.9,0.711004,0.00486735,0.0697664,0.704864,0.7058,0.714194,0.75964,0.782414
0.95,0.747431,0.00570949,0.0755612,0.737249,0.741569,0.756467,0.795964,0.827947
1,0.778855,0.00649945,0.0806192,0.764855,0.765076,0.793647,0.82686,0.865317
